asset,date_time,component,guid,path,filename
F03,2025-07-10 00:00:00,,,C:\Falcker\cloud\falcker\AI\OlieDetectie\Willem_set\Alles\20250710-F03.jpeg,20250710-F03.jpeg
F04,2025-07-10 00:00:00,,,C:\Falcker\cloud\falcker\AI\OlieDetectie\Willem_set\Alles\20250710-F04.jpeg,20250710-F04.jpeg
F05,2025-07-10 00:00:00,,,C:\Falcker\cloud\falcker\AI\OlieDetectie\Willem_set\Alles\20250710-F05.jpeg,20250710-F05.jpeg
F06,2025-07-10 00:00:00,,,C:\Falcker\cloud\falcker\AI\OlieDetectie\Willem_set\Alles\20250710-F06.jpeg,20250710-F06.jpeg
F07,2025-07-10 00:00:00,,,C:\Falcker\cloud\falcker\AI\OlieDetectie\Willem_set\Alles\20250710-F07.jpeg,20250710-F07.jpeg
F08,2025-07-10 00:00:00,,,C:\Falcker\cloud\falcker\AI\OlieDetectie\Willem_set\Alles\20250710-F08.jpeg,20250710-F08.jpeg
F09,2025-07-10 00:00:00,,,C:\Falcker\cloud\falcker\AI\OlieDetectie\Willem_set\Alles\20250710-F09.jpeg,20250710-F09.jpeg
F11,2025-07-10 00:00:00,,,C:\Falcker\cloud\falcker\AI\OlieDetectie\Willem_set\Alles\20250710-F11.jpeg,20250710-F11.jpeg
F12,2025-07-10 00:00:00,,,C:\Falcker\cloud\falcker\AI\OlieDetectie\Willem_set\Alles\20250710-F12.jpeg,20250710-F12.jpeg
F13,2025-07-10 00:00:00,,,C:\Falcker\cloud\falcker\AI\OlieDetectie\Willem_set\Alles\20250710-F13.jpeg,20250710-F13.jpeg
F14,2025-07-10 00:00:00,,,C:\Falcker\cloud\falcker\AI\OlieDetectie\Willem_set\Alles\20250710-F14.jpeg,20250710-F14.jpeg
F15,2025-07-10 00:00:00,,,C:\Falcker\cloud\falcker\AI\OlieDetectie\Willem_set\Alles\20250710-F15.jpeg,20250710-F15.jpeg
F51,2025-07-10 00:00:00,,,C:\Falcker\cloud\falcker\AI\OlieDetectie\Willem_set\Alles\20250710-F51.jpeg,20250710-F51.jpeg
F52,2025-07-10 00:00:00,,,C:\Falcker\cloud\falcker\AI\OlieDetectie\Willem_set\Alles\20250710-F52.jpeg,20250710-F52.jpeg
F53,2025-07-10 00:00:00,,,C:\Falcker\cloud\falcker\AI\OlieDetectie\Willem_set\Alles\20250710-F53.jpeg,20250710-F53.jpeg
F61,2025-07-10 00:00:00,,,C:\Falcker\cloud\falcker\AI\OlieDetectie\Willem_set\Alles\20250710-F61.jpeg,20250710-F61.jpeg
F62,2025-07-10 00:00:00,,,C:\Falcker\cloud\falcker\AI\OlieDetectie\Willem_set\Alles\20250710-F62.jpeg,20250710-F62.jpeg
F63,2025-07-10 00:00:00,,,C:\Falcker\cloud\falcker\AI\OlieDetectie\Willem_set\Alles\20250710-F63.jpeg,20250710-F63.jpeg
F64,2025-07-10 00:00:00,,,C:\Falcker\cloud\falcker\AI\OlieDetectie\Willem_set\Alles\20250710-F64.jpeg,20250710-F64.jpeg
F02,2025-07-11 00:00:00,,,C:\Falcker\cloud\falcker\AI\OlieDetectie\Willem_set\Alles\20250711-F02.jpeg,20250711-F02.jpeg
F03,2025-07-11 00:00:00,,,C:\Falcker\cloud\falcker\AI\OlieDetectie\Willem_set\Alles\20250711-F03.jpeg,20250711-F03.jpeg
F04,2025-07-11 00:00:00,,,C:\Falcker\cloud\falcker\AI\OlieDetectie\Willem_set\Alles\20250711-F04.jpeg,20250711-F04.jpeg
F05,2025-07-11 00:00:00,,,C:\Falcker\cloud\falcker\AI\OlieDetectie\Willem_set\Alles\20250711-F05.jpeg,20250711-F05.jpeg
F06,2025-07-11 00:00:00,,,C:\Falcker\cloud\falcker\AI\OlieDetectie\Willem_set\Alles\20250711-F06.jpeg,20250711-F06.jpeg
F07,2025-07-11 00:00:00,,,C:\Falcker\cloud\falcker\AI\OlieDetectie\Willem_set\Alles\20250711-F07.jpeg,20250711-F07.jpeg
